,0
SM-GE4R1_S366_E1-50,SM-GE4R1_S366_E1-50
SM-GE4R1_S367_E1-50,SM-GE4R1_S367_E1-50
SM-GE4R1_S368_E1-50,SM-GE4R1_S368_E1-50
SM-GE4R1_S369_E1-50,SM-GE4R1_S369_E1-50
SM-GE4R1_S370_E1-50,SM-GE4R1_S370_E1-50
SM-GE4R1_S371_E1-50,SM-GE4R1_S371_E1-50
SM-GE4R1_S372_E1-50,SM-GE4R1_S372_E1-50
SM-GE4R1_S374_E1-50,SM-GE4R1_S374_E1-50
SM-GE4R1_S375_E1-50,SM-GE4R1_S375_E1-50
SM-GE4R1_S376_E1-50,SM-GE4R1_S376_E1-50
SM-GE4R1_S377_E1-50,SM-GE4R1_S377_E1-50
SM-GE4R1_S378_E1-50,SM-GE4R1_S378_E1-50
SM-GE4R1_S379_E1-50,SM-GE4R1_S379_E1-50
SM-GE4R1_S380_E1-50,SM-GE4R1_S380_E1-50
SM-GE4R1_S381_E1-50,SM-GE4R1_S381_E1-50
SM-GE4R1_S383_E1-50,SM-GE4R1_S383_E1-50
SM-GE4R1_S384_E1-50,SM-GE4R1_S384_E1-50
SM-GE4R2_S057_E1-50,SM-GE4R2_S057_E1-50
SM-GE4R2_S058_E1-50,SM-GE4R2_S058_E1-50
SM-GE4R2_S059_E1-50,SM-GE4R2_S059_E1-50
SM-GE4R2_S060_E1-50,SM-GE4R2_S060_E1-50
SM-GE4R2_S061_E1-50,SM-GE4R2_S061_E1-50
SM-GE4R2_S062_E1-50,SM-GE4R2_S062_E1-50
SM-GE4R2_S063_E1-50,SM-GE4R2_S063_E1-50
SM-GE4R2_S064_E1-50,SM-GE4R2_S064_E1-50
SM-GE4R2_S065_E1-50,SM-GE4R2_S065_E1-50
SM-GE4R2_S066_E1-50,SM-GE4R2_S066_E1-50
SM-GE4R2_S067_E1-50,SM-GE4R2_S067_E1-50
SM-GE4R2_S068_E1-50,SM-GE4R2_S068_E1-50
SM-GE4R2_S069_E1-50,SM-GE4R2_S069_E1-50
SM-GE4R2_S070_E1-50,SM-GE4R2_S070_E1-50
SM-GE4R2_S071_E1-50,SM-GE4R2_S071_E1-50
SM-GE4R2_S072_E1-50,SM-GE4R2_S072_E1-50
SM-GE4R2_S073_E1-50,SM-GE4R2_S073_E1-50
SM-GE4R2_S074_E1-50,SM-GE4R2_S074_E1-50
SM-GE4R2_S075_E1-50,SM-GE4R2_S075_E1-50
SM-GE4R2_S076_E1-50,SM-GE4R2_S076_E1-50
SM-GE4R2_S077_E1-50,SM-GE4R2_S077_E1-50
SM-GE4R2_S078_E1-50,SM-GE4R2_S078_E1-50
SM-GE4R2_S079_E1-50,SM-GE4R2_S079_E1-50
SM-GE4R2_S080_E1-50,SM-GE4R2_S080_E1-50
SM-GE4R2_S082_E1-50,SM-GE4R2_S082_E1-50
SM-GE4R2_S084_E1-50,SM-GE4R2_S084_E1-50
SM-GE4R2_S085_E1-50,SM-GE4R2_S085_E1-50
SM-GE4R2_S086_E1-50,SM-GE4R2_S086_E1-50
SM-GE4R2_S087_E1-50,SM-GE4R2_S087_E1-50
SM-GE4R2_S088_E1-50,SM-GE4R2_S088_E1-50
SM-GE4R2_S089_E1-50,SM-GE4R2_S089_E1-50
SM-GE4R2_S090_E1-50,SM-GE4R2_S090_E1-50
SM-GE4R2_S091_E1-50,SM-GE4R2_S091_E1-50
SM-GE4R2_S092_E1-50,SM-GE4R2_S092_E1-50
SM-GE4R2_S093_E1-50,SM-GE4R2_S093_E1-50
SM-GE4R2_S094_E1-50,SM-GE4R2_S094_E1-50
SM-GE4R2_S095_E1-50,SM-GE4R2_S095_E1-50
SM-GE4R2_S096_E1-50,SM-GE4R2_S096_E1-50
SM-GE4R2_S153_E1-50,SM-GE4R2_S153_E1-50
SM-GE4R2_S154_E1-50,SM-GE4R2_S154_E1-50
SM-GE4R2_S155_E1-50,SM-GE4R2_S155_E1-50
SM-GE4R2_S156_E1-50,SM-GE4R2_S156_E1-50
SM-GE4R2_S157_E1-50,SM-GE4R2_S157_E1-50
SM-GE4R2_S158_E1-50,SM-GE4R2_S158_E1-50
SM-GE4R2_S159_E1-50,SM-GE4R2_S159_E1-50
SM-GE4R2_S160_E1-50,SM-GE4R2_S160_E1-50
SM-GE4R2_S161_E1-50,SM-GE4R2_S161_E1-50
SM-GE4R2_S162_E1-50,SM-GE4R2_S162_E1-50
SM-GE4R2_S163_E1-50,SM-GE4R2_S163_E1-50
SM-GE4R2_S164_E1-50,SM-GE4R2_S164_E1-50
SM-GE4R2_S165_E1-50,SM-GE4R2_S165_E1-50
SM-GE4R2_S166_E1-50,SM-GE4R2_S166_E1-50
SM-GE4R2_S167_E1-50,SM-GE4R2_S167_E1-50
SM-GE4R2_S168_E1-50,SM-GE4R2_S168_E1-50
SM-GE4R2_S169_E1-50,SM-GE4R2_S169_E1-50
SM-GE4R2_S171_E1-50,SM-GE4R2_S171_E1-50
SM-GE4R2_S172_E1-50,SM-GE4R2_S172_E1-50
SM-GE4R2_S173_E1-50,SM-GE4R2_S173_E1-50
